Longitude,Latitude
79.833333,6.916667
110.33,1.55
143.218889,-34.728611
138.92,-34.7
-6.27,34.85
-81.631667,28.133333
-82.756,28.1191
-80.597,28.0387
-121.8398,36.8994
-75.8738,36.555
-4.0,57.0
-3.6554167,53.9253056
-1.4559167,50.8202222
-83.57231,8.87067
43.2333,-22.0667
99.374391,10.551738
101.033333,15.35
100.08495,13.037758
-91.55,18.62
103.17,1.65
103.06,11.28
103.017,11.417
103.06,11.47
10.246916,56.562151
123.764935,9.543896
123.931307,10.260535
120.923848,13.75722
102.75283,5.89447
76.5999976,8.9833294
39.900278,-7.751944
53.75,36.8833
160.44635,-9.718747
-60.817,11.183
-61.08,13.866
7.44084,4.53231
6.313792,4.800742
6.312545,4.57235
119.49,16.21
100.73333,4.8499999
124.65202,10.534433
66.271905,25.558805
79.8283,8.0362
-112.0,28.0
