Longitude,Latitude,is_population,population_in_25_km_radius,population_in_50_km_radius,population_in_75_km_radius
-157.806,21.262,true,727888.5,1.02876775e6,1.035557e6
-157.6938,21.269,true,538633.75,978086.375,1.040061125e6
-157.694444,21.271389,true,541027.1875,978516.125,1.039899e6
119.8675,8.953333,true,0.0,0.0,0.0
99.6519,6.6487,true,9786.8037109375,344157.75,693158.875
98.7818,8.0481,true,115138.2890625,680383.25,1.4694275e6
99.666,9.6583,true,0.0,89452.578125,577126.25
97.8776,9.4511,true,3.6494333744049072,60.251670837402344,51074.7421875
99.0992,7.4704,true,20304.470703125,170958.203125,725731.625
102.2693,12.1247,true,35672.34765625,252137.125,658606.8125
97.6467,8.6579,true,87.93234252929688,87.93234252929688,49883.0234375
101.4654,12.5733,true,166198.5625,871938.6875,1.933790125e6
98.3019,8.1106,true,492666.0,939424.875,1.1554955e6
-59.4876,13.0801,true,264831.375,280693.0,280693.0
-86.8755,20.8478,true,12137.673828125,1.06006725e6,1.103954125e6
-87.024722,20.293611,true,75327.25,387011.6875,405056.21875
-170.6950175,-14.3064071,true,45074.05078125,45074.046875,45074.046875
-68.2937,12.1717,true,19271.21875,19271.21875,196797.15625
-75.6281,9.4124,true,123955.5625,906065.625,1.668482625e6
-77.2924,5.6797,true,11053.556640625,44422.37890625,223383.8125
165.618042,-20.904305,true,555.1409912109375,9121.3466796875,17148.66015625
164.7,-20.96667,true,8143.09033203125,15789.953125,32534.052734375
-65.56805,18.348611,true,90385.8671875,758797.125,1.823972e6
-64.618103,18.436539,true,34169.55078125,83794.65625,85948.359375
104.61375,-2.391635,true,75233.9375,165914.625,2.702332e6
103.015,5.775,true,2106.757080078125,250633.9375,827673.3125
48.5,30.25,true,147337.96875,519416.5,2.26619075e6
100.04,6.0625333,true,3.548989772796631,918975.875,2.0338675e6
-78.339386,18.311018,true,124363.6015625,318564.59375,521597.40625
-83.583333,43.916667,true,10652.6708984375,180573.03125,553006.125
122.877,11.323,true,570915.0,1.885917e6,4.218037e6
-81.24,24.68,true,17647.12890625,24834.853515625,58749.3984375
-69.683,18.448,true,2.13707775e6,5.208396e6,6.011855e6
39.344444,-6.155,true,1.09799425e6,1.3005455e6,4.13582175e6
39.729,-4.022,true,1.749392625e6,2.4555905e6,2.9292615e6
124.65,1.666667,true,5155.3974609375,964103.5,1.694838625e6
79.8472222,7.1536111,true,2.4942115e6,6.337439e6,8.886342e6
145.7703,-16.9225,true,174588.578125,207362.6875,239936.59375
117.92067,24.438543,true,3.58791125e6,6.1662575e6,9.238202e6
113.6333,22.7667,true,4.592037e6,2.4718544e7,5.303754e7
122.32209,11.575564,true,517379.5,1.29394075e6,2.3764625e6
72.619218,21.336988,true,2.65056875e6,7.567056e6,1.15672e7
72.245543,21.771243,true,954945.6875,1.771263875e6,3.682594e6
72.866841,22.233232,true,1.25917125e6,6.234252e6,9.955006e6
68.496712,23.602057,true,26951.283203125,112689.109375,235940.09375
72.680006,21.462605,true,74847.9765625,8.30249e6,1.1695485e7
73.785614,22.958684,true,1.085950125e6,4.559546e6,9.050744e6
72.71301,21.139172,true,6.7028435e6,8.296419e6,1.1663358e7
-0.786,37.7702,true,383625.375,1.4128235e6,2.42957725e6
-64.75,32.333333,true,64031.0,64030.99609375,64031.0
39.501369,-4.438543,true,255801.125,1.510176375e6,2.8018405e6
89.42,22.05,true,25763.01171875,812146.25,4.509952e6
39.363889,-7.773889,true,27023.0390625,269652.6875,479912.53125
38.85,-5.4,true,144940.90625,829257.5,1.583714625e6
25.0,-30.0,true,913.0843505859375,23252.97265625,47073.4453125
36.25,-18.75,true,21941.013671875,77303.90625,246371.15625
107.869912,16.319709,true,265876.1875,1.9012075e6,2.88440125e6
107.4973,16.6202,true,769658.5,1.30514175e6,1.637477125e6
106.33,10.31,true,1.65117825e6,5.050855e6,1.7504888e7
105.98,20.25,true,1.612086375e6,5.928678e6,1.115889e7
45.138333,-12.843056,true,305579.9375,305587.0,305587.0
109.23736,13.83231,true,712529.375,1.209294e6,1.78379225e6
109.24315,13.803283,true,700486.5,1.21332e6,1.7479235e6
12.3,44.92,true,96397.96875,457616.125,2.44400375e6
76.25,10.03,true,3.7496165e6,7.43284e6,1.2354714e7
153.37,-29.43,true,18962.046875,38118.5625,155786.78125
151.78,-32.9,true,415530.15625,696188.0625,926919.375
-15.5997222,27.965,true,812653.3125,865492.5625,865492.5
122.0,13.0,true,20134.08984375,176214.96875,990166.5
-158.0,21.5,true,677711.9375,1.0344415e6,1.0344415e6
117.355,-0.645815,true,210122.828125,1.641026625e6,1.80074975e6
123.198,13.722,true,1.021875875e6,2.37518875e6,3.65986925e6
146.65,-35.1,true,1531.236083984375,10139.58203125,90383.125
74.379876,14.492964,true,344527.65625,810294.125,1.503974e6
-170.0,-14.33,true,0.0,278.94677734375,13428.966796875
34.2539,28.278,true,654.20263671875,100858.453125,144789.65625
38.0,22.0,true,0.0,0.0,0.0
34.234,27.742,true,48713.59375,86532.171875,268617.9375
-3.202136,54.080854,true,204926.25,895689.5,2.757085e6
5.23,53.23,true,54519.98046875,458251.875,1.3444795e6
-35.24958,-5.52749,true,349223.875,1.5855555e6,1.857287875e6
18.73581,59.38778,true,72413.203125,1.96248375e6,2.5020735e6
34.082,0.038,true,452957.15625,2.304438e6,5.699577e6
15.08,36.78,true,136152.21875,515065.21875,806248.875
110.36522,1.544765,true,879837.5,1.034039375e6,1.166041125e6
98.6,8.283333,true,107727.109375,768630.0,1.44796275e6
121.07,-6.62,true,1938.415283203125,8826.052734375,32380.76953125
83.25,41.0333333,true,11797.279296875,200141.8125,515864.1875
72.663148,21.257534,true,6.6446145e6,8.04728e6,1.110075e7
99.32,9.13,true,349224.875,684087.25,1.09833575e6
124.216667,9.884444,true,426468.15625,1.38026175e6,4.865234e6
124.285,10.257,true,184641.46875,3.40643825e6,5.54914e6
133.416667,-2.333333,true,3449.193359375,57162.9140625,70311.1171875
121.687,13.972,true,818056.125,2.8327045e6,6.975741e6
-105.57,20.699,true,22329.3359375,474239.8125,533410.0
-109.421,23.389,true,737.553955078125,183628.78125,329504.9375
116.25,-8.25,true,205045.78125,2.26340625e6,3.74936425e6
-2.9,50.7,true,129990.9375,902048.25,2.06174725e6
-83.761,44.0185,true,20141.724609375,161878.296875,529643.25
80.786095,6.012671,true,548932.0,1.731188125e6,3.0264315e6
80.825093,6.045905,true,523509.6875,1.691224375e6,3.0027295e6
80.820871,6.041371,true,520675.375,1.69374325e6,3.00216675e6
80.854184,6.062529,true,504365.4375,1.669315e6,2.94522975e6
-61.464033,10.59141,true,863977.6875,1.357185e6,1.44830425e6
74.398499,14.494051,true,351435.5625,884153.5,1.53586925e6
89.2385,22.249,true,697334.25,2.8977765e6,9.357045e6
89.6096,22.0221,true,337.97589111328125,892028.4375,4.405998e6
89.2426,22.2511,true,696647.375,2.881413e6,9.36995e6
116.0,5.966,true,919344.125,1.12529425e6,1.56726375e6
121.560771,40.869711,true,70826.078125,1.87131675e6,5.307951e6
126.35,34.766,true,347366.71875,575100.9375,2.36346875e6
102.334,12.056,true,36668.3515625,212807.125,613280.0
106.99316,20.799997,true,366808.09375,2.563662e6,5.31175e6
146.17,-18.65,true,11050.73828125,16386.802734375,22195.73046875
168.338972,-17.799111,true,89681.5078125,99541.5,99693.078125
167.5,-16.3,true,9389.5263671875,33994.2734375,41642.23828125
121.733047,13.970681,true,759156.5,2.58067e6,6.253819e6
6.21,5.39,true,890479.375,3.8615045e6,7.5465705e6
178.36561,-18.13732,true,324031.375,389540.25,432442.125
177.46,-18.01,true,88333.875,228022.46875,325686.09375
12.19,45.43,true,1.06344675e6,2.6473045e6,4.327495e6
120.23,16.02,true,1.368785125e6,3.660289e6,6.152511e6
53.696801,36.782684,true,153539.765625,896603.3125,1.87515e6
162.97,5.35,true,6267.580078125,6267.580078125,6267.580078125
-1.283,53.6,true,1.494019e6,4.807144e6,9.677817e6
153.17,-27.33,true,1.164689875e6,2.329472e6,3.000216e6
23.676944,-19.761944,true,2450.41015625,111359.703125,116361.03125
22.296667,-19.113056,true,10590.265625,39315.96484375,47051.21875
21.845833,-18.369167,true,15062.3203125,29357.890625,49445.8125
-80.92,25.55,true,82.13618469238281,206776.96875,1.9883995e6
-77.0833,26.4667,true,12904.0322265625,17174.02734375,18878.24609375
-87.78,13.43,true,156275.203125,810317.875,1.657991e6
39.67,-4.05,true,1.797272e6,2.43188025e6,2.97103675e6
137.415774,-30.000233,true,0.7229738831520081,5.344417095184326,1455.2161865234375
136.209152,-30.000233,true,1.2151862382888794,8.5076265335083,38.96821594238281
55.67,-4.58,true,57490.90625,104820.1484375,104863.546875
13.32,45.75,true,211446.0625,1.17255e6,1.9289755e6
13.5004,45.7569,true,326454.75,1.042359e6,1.77013325e6
-6.333333,49.916667,true,2262.45703125,3122.853515625,70105.4375
80.938114,6.085575,true,391746.3125,1.464713375e6,2.60261575e6
81.121451,6.132105,true,260341.65625,866354.0,2.0614845e6
119.583333,-5.416667,true,658008.125,3.404092e6,4.232157e6
0.86,51.77,true,570537.0625,2.516621e6,9.61862e6
122.349105,45.025699,true,47156.6875,341255.75,1.11083575e6
-6.437461,37.03353,true,18474.640625,765565.375,2.70575825e6
106.88,10.6,true,1.3586365e6,1.5477098e7,1.9599512e7
-82.873,24.629,true,21.159473419189453,21.159473419189453,21.159473419189453
-81.230344,25.514789,true,0.09207688271999359,1625.2861328125,69847.9375
-0.2,53.7,true,648237.625,1.0328065e6,2.3187565e6
133.7751312,-25.2743988,true,0.050158947706222534,14.883829116821289,299.44720458984375
177.45,-17.62,true,173706.25,272059.75,326793.46875
-77.921111,18.469444,true,260616.734375,544845.3125,969561.9375
1.137023,51.940306,true,607600.4375,1.22585825e6,3.44166675e6
0.583333,51.75,true,992072.1875,5.53981e6,1.5079972e7
-0.292508,50.766652,true,714093.375,1.664602375e6,5.792867e6
67.7,24.1,true,162610.5,479475.125,1.100985625e6
-1.2426,59.9368,true,12792.7783203125,19622.09375,22710.203125
-1.2401,55.684,true,11.680200576782227,49045.7734375,353599.875
-2.525,50.621,true,146180.921875,821497.75,1.96225525e6
-5.046,50.205,true,265141.875,439596.34375,830932.3125
-4.217,51.07,true,136109.96875,241897.0625,1.4473595e6
1.056,52.959,true,83360.015625,625606.0625,1.263347e6
0.54,52.96,true,93130.296875,530439.125,1.682314625e6
-3.8685,50.287,true,323112.0,740174.9375,1.214941875e6
-4.2199,50.423,true,417912.09375,853601.9375,1.439944875e6
0.942,53.251,true,0.0,126825.859375,797278.1875
-1.295556,50.575,true,143431.6875,1.86820825e6,2.79526625e6
-5.6511,54.3336,true,111212.09375,1.06820375e6,1.511014125e6
0.729,53.544,true,0.0,55434.57421875,534310.3125
-0.716,54.564,true,123511.125,831102.9375,2.64509175e6
-4.944,53.517,true,3.87226939201355,39713.171875,164490.46875
-3.876,54.342,true,1980.945068359375,246360.984375,533743.1875
-5.382,52.626,true,0.0,377.2013854980469,149375.890625
0.273,53.408,true,75922.5625,381418.875,1.50092925e6
0.256,54.492,true,0.0,55749.59375,213456.609375
-0.352,54.264,true,138464.6875,333840.28125,1.73186475e6
1.352,52.954,true,89751.4765625,607051.125,1.035683875e6
0.4411,53.818,true,0.0,309520.625,901421.375
0.035,53.775,true,240336.125,843597.5,1.529216625e6
