clsid,length,longitude,latitude,wetland_type,erosion_type,id_citycluster,id_river,id_floodplain,id_nonopencoast,id_nextcoast,id_gadm1,id_island
"10082",0.523633480072021,-5.45,58.0833333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10083",0.524150550365448,-5.45208333333333,58.0883333333333,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10084",1.7189005613327,-5.44583333333333,58.0975,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10085",0.417699217796326,-5.4375,58.0995833333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10086",1.20330142974854,-5.4325,58.105,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10087",4.28343820571899,-5.4,58.095,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10088",0.314453542232513,-5.37791666666667,58.0783333333333,"-9999","-9999","-9999","-9999","-9999","132","70","1082","70"
"10089",1.84299337863922,-5.36833333333333,58.0766666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"1009",0.923525452613831,-3.10833333333333,58.8141666666667,"-9999","-9999","-9999","-9999","-9999","59","64","1082","64"
"10090",0.566976547241211,-5.36,58.0658333333333,"-9999","-9999","-9999","-9999","246","70","70","1082","70"
"10091",0.370649755001068,-5.35666666666667,58.0704166666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10092",0.492940694093704,-5.355,58.0733333333333,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10093",1.87683880329132,-5.34,58.0766666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10094",0.307186633348465,-5.33208333333333,58.0766666666667,"-9999","-9999","-9999","-9999","-9999","132","70","1082","70"
"10095",2.24632120132446,-5.32083333333333,58.0683333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10096",0.282274842262268,-5.30791666666667,58.0658333333333,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10097",0.643378913402557,-5.30416666666667,58.0658333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10098",0.689647912979126,-5.29916666666667,58.0691666666667,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10099",0.453818649053574,-5.29333333333333,58.0708333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"101",0.347237408161163,-1.60833333333333,59.5358333333333,"-9999","-9999","-9999","-9999","-9999","-1","7","1082","7"
"1010",0.697914659976959,-3.11833333333333,58.8158333333333,"-9999","-9999","-9999","-9999","-9999","68","64","1082","64"
"10100",0.765265285968781,-5.28416666666667,58.0725,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10101",1.11818039417267,-5.28666666666667,58.0783333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10102",0.392146199941635,-5.28291666666667,58.0858333333333,"-9999","-9999","-9999","-9999","-9999","142","70","1082","70"
"10103",0.589412868022919,-5.27833333333333,58.0833333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10104",0.608518898487091,-5.27916666666667,58.0883333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10105",1.00599133968353,-5.27666666666667,58.0925,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10106",0.726194679737091,-5.2725,58.0983333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10107",1.1137957572937,-5.27833333333333,58.1025,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10108",0.373869478702545,-5.27041666666667,58.1058333333333,"-9999","-9999","-9999","-9999","237","70","-1","1082","70"
"10109",0.269618779420853,-5.27375,58.1075,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"1011",0.303153812885284,-3.12708333333333,58.8133333333333,"-9999","-9999","-9999","-9999","-9999","70","64","1082","64"
"10110",1.4149010181427,-5.28083333333333,58.1083333333333,"-9999","-9999","-9999","-9999","236","70","70","1082","70"
"10111",0.370649755001068,-5.28208333333333,58.1141666666667,"-9999","-9999","-9999","-9999","235","70","-1","1082","70"
"10112",4.0145788192749,-5.29666666666667,58.12,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10113",0.300822138786316,-5.26416666666667,58.1241666666667,"-9999","0","-9999","-9999","233","70","-1","1082","70"
"10114",5.79737520217896,-5.29583333333333,58.1383333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10115",0.28225776553154,-5.25958333333333,58.14,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10116",1.22387278079987,-5.25666666666667,58.1425,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10117",0.656900525093079,-5.25083333333333,58.145,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10118",0.553108155727386,-5.24583333333333,58.1466666666667,"-9999","-9999","-9999","-9999","229","70","70","1082","70"
"10119",0.848368883132935,-5.24166666666667,58.1475,"-9999","-9999","-9999","-9999","229","70","-1","1082","70"
"1012",2.21730089187622,-3.14,58.8175,"-9999","-9999","-9999","-9999","-9999","65","64","1082","64"
"10120",6.51111221313477,-5.28083333333333,58.1508333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10121",0.492084443569183,-5.29666666666667,58.165,"-9999","-9999","-9999","-9999","228","70","70","1082","70"
"10122",0.707397103309631,-5.30833333333333,58.1633333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10123",0.564502656459808,-5.31125,58.1683333333333,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10124",0.354430884122849,-5.31708333333333,58.1691666666667,"-9999","-9999","-9999","-9999","-9999","132","70","1082","70"
"10125",0.552865564823151,-5.315,58.1708333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10126",0.577369213104248,-5.30583333333333,58.1691666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10127",1.12623679637909,-5.30666666666666,58.1775,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10128",1.23327422142029,-5.32666666666667,58.1816666666667,"-9999","-9999","-9999","-9999","-9999","132","70","1082","70"
"10129",0.915658056735992,-5.33583333333333,58.1858333333333,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"1013",0.471455782651901,-3.14583333333333,58.8308333333333,"-9999","-9999","-9999","-9999","-9999","62","64","1082","64"
"10130",0.4163938164711,-5.33583333333333,58.1883333333333,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10131",0.79381388425827,-5.34333333333333,58.19,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10132",0.339756160974503,-5.34,58.1970833333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10133",0.33248695731163,-5.34125,58.2,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10134",1.1840215921402,-5.35166666666666,58.2025,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10135",1.16473615169525,-5.36,58.21,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10136",0.370649755001068,-5.36083333333333,58.2170833333333,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10137",0.542460441589355,-5.36333333333333,58.2191666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10138",0.605323851108551,-5.37083333333333,58.2216666666667,"-9999","0","-9999","-9999","-9999","-1","70","1082","70"
"10139",0.744315624237061,-5.37583333333333,58.225,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"1014",1.02831304073334,-3.13416666666667,58.8341666666667,"-9999","-9999","-9999","-9999","-9999","32","64","1082","64"
"10140",1.51641523838043,-5.3925,58.2325,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10141",4.29675722122192,-5.39333333333333,58.2541666666667,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10142",0.708507895469666,-5.375,58.2591666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10143",0.463312208652496,-5.37166666666667,58.25375,"-9999","-9999","-9999","-9999","-9999","100","70","1082","70"
"10144",2.24071550369263,-5.355,58.2516666666667,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10145",1.49964308738708,-5.3425,58.2425,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10146",1.07875037193298,-5.32166666666667,58.2408333333333,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10147",0.417693644762039,-5.31875,58.235,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10148",0.269110202789307,-5.31541666666667,58.2333333333333,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10149",0.791130781173706,-5.31333333333333,58.23,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"1015",0.325203478336334,-3.12833333333333,58.8395833333333,"-9999","-9999","-9999","-9999","-9999","62","64","1082","64"
"10150",0.608238875865936,-5.31,58.2241666666667,"-9999","0","-9999","-9999","-9999","70","70","1082","70"
"10151",0.502825140953064,-5.30333333333333,58.2275,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10152",0.960755467414856,-5.295,58.2316666666667,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10153",1.12008106708527,-5.28416666666667,58.2366666666667,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10154",0.294606178998947,-5.27458333333333,58.2408333333333,"-9999","-9999","-9999","-9999","-9999","115","-1","1082","70"
"10155",0.314141005277634,-5.27208333333333,58.2433333333333,"-9999","-9999","-9999","-9999","-9999","-1","-1","1082","70"
"10156",0.69209086894989,-5.26333333333333,58.2441666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10157",0.37384420633316,-5.26041666666667,58.2466666666667,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10158",0.438883632421494,-5.25291666666667,58.2466666666667,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10159",0.524020075798035,-5.25083333333333,58.25125,"-9999","-9999","-9999","-9999","188","70","-1","1082","70"
"1016",3.30456566810608,-3.1,58.845,"-9999","-9999","-9999","-9999","-9999","32","64","1082","64"
"10160",1.23594832420349,-5.26416666666667,58.2525,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10161",0.325233399868011,-5.27041666666667,58.2558333333333,"-9999","-9999","-9999","-9999","-9999","115","70","1082","70"
"10162",0.811336696147919,-5.27916666666667,58.2575,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10163",0.94721782207489,-5.2725,58.2625,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10165",0.339529037475586,-5.26583333333333,58.2683333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
"10166",0.185324877500534,-5.2675,58.2670833333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10166",0.828706324100494,-5.26166666666666,58.2683333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10167",0.574882388114929,-5.25791666666667,58.2608333333333,"-9999","-9999","-9999","-9999","-9999","100","70","1082","70"
"10168",0.341217547655106,-5.25208333333333,58.2608333333333,"-9999","-9999","-9999","-9999","-9999","-1","70","1082","70"
"10169",0.339554727077484,-5.24875,58.2583333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"1017",0.506060898303986,-3.14791666666667,58.8058333333333,"-9999","-9999","-9999","-9999","118","62","65","1082","65"
"10170",1.01005434989929,-5.24416666666666,58.2608333333333,"-9999","-9999","-9999","-9999","182","-1","70","1082","70"
"10171",0.463312208652496,-5.24166666666667,58.25625,"-9999","-9999","-9999","-9999","182","104","70","1082","70"
"10172",4.07736158370972,-5.235,58.2533333333333,"-9999","-9999","-9999","-9999","182","70","70","1082","70"
"10173",0.755224287509918,-5.22083333333333,58.2541666666667,"-9999","-9999","-9999","-9999","182","89","70","1082","70"
"10174",1.18232893943787,-5.2125,58.2491666666667,"-9999","-9999","-9999","-9999","-9999","96","70","1082","70"
"10175",2.47523236274719,-5.20416666666667,58.2533333333333,"-9999","-9999","-9999","-9999","-9999","70","70","1082","70"
"10176",0.746941566467285,-5.1925,58.2483333333333,"-9999","-9999","-9999","-9999","-9999","70","-1","1082","70"
