name,country,lon,lat
THERMO FISHER SCIENTIFIC INC.,GB,55.88102,-4.44494
THERMO FISHER SCIENTIFIC INC.,GB,53.407153,-2.5300268
THERMO FISHER SCIENTIFIC INC.,GB,52.785341,-1.2248587
THERMO FISHER SCIENTIFIC INC.,GB,54.033719,-2.912385
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,53.4282527,-2.522499
THERMO FISHER SCIENTIFIC INC.,GB,51.2712253,-1.1092271
THERMO FISHER SCIENTIFIC INC.,GB,51.2801052,-1.0658721
THERMO FISHER SCIENTIFIC INC.,GB,51.2712253,-1.1092271
THERMO FISHER SCIENTIFIC INC.,GB,53.407153,-2.5300268
THERMO FISHER SCIENTIFIC INC.,GB,52.785341,-1.2248587
THERMO FISHER SCIENTIFIC INC.,GB,53.1927827,-2.4893205
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,53.3982202,-2.3686908
THERMO FISHER SCIENTIFIC INC.,GB,54.033719,-2.912385
THERMO FISHER SCIENTIFIC INC.,GB,51.6979807,-3.1460338
THERMO FISHER SCIENTIFIC INC.,GB,56.415925,-3.4707273
THERMO FISHER SCIENTIFIC INC.,GB,55.1025483,-1.6071678
THERMO FISHER SCIENTIFIC INC.,GB,51.1355838,-0.0389808
BAE SYSTEMS PLC,GB,51.7098,-2.9679
BAE SYSTEMS PLC,GB,50.746128,-1.308459
BAE SYSTEMS PLC,GB,50.7411,-1.7346
BAE SYSTEMS PLC,GB,56.045267,-3.347155
BAE SYSTEMS PLC,GB,53.749949,-2.892395
BAE SYSTEMS PLC,GB,51.707838,0.5022282
BAE SYSTEMS PLC,GB,50.9421078,-2.6734606
BAE SYSTEMS PLC,GB,53.7781,-2.5774
BAE SYSTEMS PLC,GB,50.829997,-1.055809
BAE SYSTEMS PLC,GB,54.1065149455094,-3.23354244232177
BAE SYSTEMS PLC,GB,54.1172049,-3.2256888
BAE SYSTEMS PLC,GB,51.2735616296618,-0.765910148620605
BAE SYSTEMS PLC,GB,51.5335,-2.5706
BAE SYSTEMS PLC,GB,56.3790925,-2.8822122
BAE SYSTEMS PLC,GB,51.3149,-0.7502
BAE SYSTEMS PLC,GB,55.1403483,-2.1683865
BAE SYSTEMS PLC,GB,57.7103539,-3.3079101
BAE SYSTEMS PLC,GB,50.802665,-1.107528
BAE SYSTEMS PLC,GB,55.8817078,-4.3643677
BAE SYSTEMS PLC,GB,55.8640744,-4.3248901
BAE SYSTEMS PLC,GB,51.5276025,-2.5982128
BAE SYSTEMS PLC,GB,51.5095903532059,-2.58249541726655
BAE SYSTEMS PLC,GB,52.125772,-0.984843
BAE SYSTEMS PLC,GB,53.775399,-2.562325
BAE SYSTEMS PLC,GB,54.1065149455094,-3.23354244232177
BAE SYSTEMS PLC,GB,51.242772,-0.615232
BAE SYSTEMS PLC,GB,56.027799,-3.439425
BAE SYSTEMS PLC,GB,51.5076,-1.9815
BAE SYSTEMS PLC,GB,53.08566,-2.33264
BAE SYSTEMS PLC,GB,51.4034,-0.2574
BAE SYSTEMS PLC,GB,56.0459,-3.3465
BAE SYSTEMS PLC,GB,51.403376,-0.257447
BAE SYSTEMS PLC,GB,52.7261,-0.6502
BAE SYSTEMS PLC,GB,51.357116,0.503311
BAE SYSTEMS PLC,GB,55.8744291367934,-4.49535534048432
BAE SYSTEMS PLC,GB,53.0983,-0.1778
BAE SYSTEMS PLC,GB,52.657,0.547
BAE SYSTEMS PLC,GB,53.7228,-0.5752
BAE SYSTEMS PLC,GB,54.8973881,-1.583774
BAE SYSTEMS PLC,GB,51.7623,-1.5817
BAE SYSTEMS PLC,GB,51.695829,-1.771339
BAE SYSTEMS PLC,GB,52.3474,-0.1161
BAE SYSTEMS PLC,GB,51.31488,-0.750195
BAE SYSTEMS PLC,GB,50.717712,-2.44548
BAE SYSTEMS PLC,GB,50.942367,-2.672489
BAE SYSTEMS PLC,GB,51.5061,-0.1000641
BAE SYSTEMS PLC,GB,50.611936325724,-2.48881515240612
BAE SYSTEMS PLC,GB,51.712967,-2.95381
BAE SYSTEMS PLC,GB,54.885916,-1.5449269
BAE SYSTEMS PLC,GB,52.1291,-2.3015
BAE SYSTEMS PLC,GB,53.2543,-4.534
BAE SYSTEMS PLC,GB,51.707638,0.5022282
BAE SYSTEMS PLC,GB,50.8011,-1.10887
BAE SYSTEMS PLC,GB,51.403376,-0.257447
RWE Aktiengesellschaft,GB,51.61662,-1.262599
RWE Aktiengesellschaft,GB,52.58344,1.731597
RWE Aktiengesellschaft,GB,52.72807,0.379309
RWE Aktiengesellschaft,GB,52.23169,-0.2643171
RWE Aktiengesellschaft,GB,51.68492,-4.949309
RWE Aktiengesellschaft,GB,53.075,-0.855867
BP P.L.C.,GB,56.772,1.682
BP P.L.C.,GB,59.744,1.6536
BP P.L.C.,GB,60.601,-2.524
BP P.L.C.,GB,60.6757,-2.5593
BP P.L.C.,GB,57.1859,1.907
BP P.L.C.,GB,60.3166,-4.2808
BP P.L.C.,GB,57.3798,1.9994
BP P.L.C.,GB,60.3554,-4.0774
BP P.L.C.,GB,57.0379,1.9449
TRANSDIGM INC.,GB,51.5783966883095,-3.56842860728113
TRANSDIGM INC.,GB,54.6058929332894,-1.42196406787914
TRANSDIGM INC.,GB,51.8581412712503,-2.215295369183
TRANSDIGM INC.,GB,50.7349776437709,-2.76110860157521
TRANSDIGM INC.,GB,51.5746937024873,-0.758124806135947
TRANSDIGM INC.,GB,50.712769352875,-1.14507816718221
TRANSDIGM INC.,GB,52.2135032576337,0.462044098482268
Chugai Pharmaceutical Co. Ltd.,GB,51.519263,0.181658
Chugai Pharmaceutical Co. Ltd.,GB,51.519263,0.181658
TRANSDIGM INC.,GB,51.8581412712503,-2.215295369183
TRANSDIGM INC.,GB,54.6058929332894,-1.42196406787914
TRANSDIGM INC.,GB,50.7349776437709,-2.76110860157521
TRANSDIGM INC.,GB,51.5783966883095,-3.56842860728113
TRANSDIGM INC.,GB,51.5746937024873,-0.758124806135947
TRANSDIGM INC.,GB,50.712769352875,-1.14507816718221
TRANSDIGM INC.,GB,52.2135032576337,0.462044098482268
AMAZON.COM INC.,GB,52.5433023,-0.2382068
AMAZON.COM INC.,GB,55.94388,-4.8652696
AMAZON.COM INC.,GB,53.4996726,-1.1212975
AMAZON.COM INC.,GB,53.4847095,-1.10235
AMAZON.COM INC.,GB,53.501475,-1.1346051
AMAZON.COM INC.,GB,51.5207833,-0.0064319
AMAZON.COM INC.,GB,51.4676597,0.3531897
AMAZON.COM INC.,GB,52.0296604,-0.5929559
AMAZON.COM INC.,GB,51.7620665,-0.4275333
AMAZON.COM INC.,GB,51.8913238,-0.509122499999999
AMAZON.COM INC.,GB,53.3596015,-2.2943103
AMAZON.COM INC.,GB,53.4094343,-2.6576769
AMAZON.COM INC.,GB,53.3156051,-2.6519316
AMAZON.COM INC.,GB,52.3028123,-0.7402804
AMAZON.COM INC.,GB,52.2673672,-1.1873647
AMAZON.COM INC.,GB,52.512992,-1.8210201
AMAZON.COM INC.,GB,52.7549647,-1.923104
AMAZON.COM INC.,GB,52.6974667,-1.3520181
